word,pos,score
참다,Verb,-0.025
붙박다,Verb,-0.075
짧다,Adjective,-0.15
어중간하다,Adjective,-0.3
따끈하다,Adjective,0.6
분명하다,Adjective,0.475
뛰어오르다,Verb,0.125
이끌다,Verb,0.375
헐떡이다,Verb,-0.2
완전하다,Adjective,0.625
끼어들다,Verb,-0.15
닦다,Verb,0.275
음흉하다,Adjective,-0.25
유용하다,Adjective,0.65
악물다,Verb,-0.15
제제하다,Adjective,-0.175
머나멀다,Adjective,-0.325
원활하다,Adjective,0.65
섬뜩하다,Adjective,-0.475
파닥거리다,Verb,0.222222222
질리다,Verb,-0.25
고달프다,Adjective,-0.2
살아오다,Verb,0.375
굴르다,Verb,-0.375
위급하다,Adjective,-0.4
떠지다,Verb,0.2
닳다,Verb,0
밋밋하다,Adjective,-0.225
동일하다,Adjective,0.175
견고하다,Adjective,0.35
헝클다,Verb,-0.175
맹렬하다,Adjective,-0.05
현명하다,Adjective,0.55
파내다,Verb,0.025
안절부절못하다,Verb,-0.2
애달프다,Adjective,-0.1
쉴드치다,Verb,0
자유롭다,Adjective,0.85
재밌다,Adjective,0.875
반들반들하다,Adjective,0.25
쪽팔리다,Verb,-0.4
걸걸하다,Adjective,-0.111111111
휘둥그레지다,Verb,0.075
받치다,Verb,0
빼앗기다,Verb,-0.35
달라지다,Verb,0.15
끼부리다,Adjective,0.138888889
격해지다,Adjective,-0.175
산만하다,Adjective,-0.25
팔딱이다,Verb,0.305555556
잘나가다,Verb,0.45
징그럽다,Adjective,-0.375
대수롭다,Adjective,0.025
중대하다,Adjective,0.3
꺼지다,Verb,-0.425
긴밀하다,Adjective,0.25
징징거리다,Adjective,-0.2
아옹다옹하다,Verb,-0.083333333
헐겁다,Adjective,-0.075
악세다,Adjective,-0.075
박차다,Verb,0.3
아릿하다,Adjective,0.055555556
거뜬하다,Adjective,0.425
선량하다,Adjective,0.6
